gene,name,molecule,if_important
0,XKR4,gene,0
1,RP1,gene,0
2,SOX17,gene,0
3,MRPL15,gene,1
4,LYPLA1,gene,0
5,TCEA1,gene,0
6,RGS20,gene,0
7,ATP6V1H,gene,0
8,OPRK1,gene,0
9,NPBWR1,gene,0
10,RB1CC1,gene,0
11,FAM150A,gene,0
12,ST18,gene,0
13,PCMTD1,gene,0
14,SNTG1,gene,0
15,RRS1,gene,0
16,ADHFE1,gene,0
17,2610203C22RIK,gene,0
18,3110035E14RIK,gene,0
19,MYBL1,gene,0
20,VCPIP1,gene,0
21,1700034P13RIK,gene,0
22,SGK3,gene,0
23,6030422M02RIK,gene,0
24,SNHG6,gene,0
25,SNORD87,gene,0
26,PPP1R42,gene,0
27,COPS5,gene,0
28,CSPP1,gene,0
29,ARFGEF1,gene,0
30,CPA6,gene,0
31,PREX2,gene,0
32,A830018L16RIK,gene,0
33,4932411L15,gene,0
34,SULF1,gene,0
35,SLCO5A1,gene,0
36,PRDM14,gene,0
37,NCOA2,gene,0
38,TRAM1,gene,0
39,LACTB2,gene,0
40,XKR9,gene,0
41,GM5523,gene,0
42,EYA1,gene,0
43,MSC,gene,0
44,TRPA1,gene,1
45,KCNB2,gene,0
46,TERF1,gene,0
47,GM106,gene,0
48,4930444P10RIK,gene,0
49,RPL7,gene,0
50,RDH10,gene,0
51,STAU2,gene,0
52,UBE2W,gene,0
53,TCEB1,gene,0
54,D030040B21RIK,gene,0
55,TMEM70,gene,0
56,LY96,gene,0
57,JPH1,gene,0
58,GDAP1,gene,0
59,PI15,gene,0
60,CRISPLD1,gene,0
61,CRISP4,gene,0
62,DEFB44-PS,gene,0
63,DEFB18,gene,0
64,DEFB41,gene,0
65,GM15386,gene,0
66,TFAP2D,gene,0
67,TFAP2B,gene,0
68,PKHD1,gene,0
69,4930486I03RIK,gene,0
70,MIR206,gene,0
71,MIR133B,gene,0
72,IL17A,gene,0
73,IL17F,gene,0
74,MCM3,gene,0
75,6720483E21RIK,gene,0
76,PAQR8,gene,0
77,EFHC1,gene,0
78,TRAM2,gene,0
79,TMEM14A,gene,0
80,GSTA3,gene,0
81,GM4956,gene,0
82,KHDC1A,gene,0
83,KHDC1C,gene,0
84,KHDC1B,gene,0
85,KCNQ5,gene,0
86,RIMS1,gene,0
87,4933415F23RIK,gene,0
88,MIR30A,gene,0
89,MIR30C-2,gene,0
90,OGFRL1,gene,0
91,B3GAT2,gene,0
92,SMAP1,gene,0
93,1110058L19RIK,gene,0
94,FAM135A,gene,0
95,COL9A1,gene,0
96,COL19A1,gene,0
