Gene_A,Gene_B
A0A024QYV7,A0A024QYV7
A0A024QYV7,EWSR1
A0A024QYV7,DDX39B
A0A024QYV7,CDC37
A0A024QYV7,ELF5
HNRPUL1,TARDBP
HNRPUL1,ROPN1
PCTK1,ZBTB14
PCTK1,BAG6
PCTK1,ATRIP
PCTK1,APPBP2
UBE1,UBE2J2
A0A024R1L7,PEX1
A0A024R1L7,KIF1B
A0A024R1L7,WFS1
A0A024R1L7,HSPB1
A0A024R1L7,RNF11
FAM107A,WDR47
FAM107A,CANX
C11ORF65,CALM1
C11ORF65,CALM2
C11ORF65,CALM3
C11ORF65,CALML3
C11ORF65,SUMO1
C11ORF65,FAM214B
TSNAX,GADD45G
TSNAX,PBXIP1
TSNAX,MRFAP1L1
A0A024R4Z4,AGR2
A0A024R4Z4,UBE2I
A0A024R4Z4,POU6F2
A0A024R4Z4,TP53BP2
A0A024R4Z4,FAM9A
A0A024R4Z4,ZFP41
A0A024R4Z4,CEP70
A0A024R4Z4,ZNF526
A0A024R4Z4,TSPYL2
A0A024R4Z4,PICK1
A0A024R5Q1,CYSRT1
A0A024R5Q1,DAB1
A0A024R5Q1,VENTX
A0A024R5Q1,PSMA3
A0A024R5Q1,HNRNPF
A0A024R5Q1,KRTAP12-2
A0A024R5Q1,CSNK2B
A0A024R5Q1,PRR20D
A0A024R5Q1,SP4
A0A024R5Q1,PCBP1
A0A024R5Q1,KRTAP19-5
A0A024R5Q1,KRTAP8-1
A0A024R5Q1,BOLL
A0A024R5Q1,PHC3
A0A024R5Q1,RBPMS
A0A024R5Q1,MDFI
A0A024R5Q1,RHOXF2
A0A024R5Q1,KRTAP3-3
A0A024R5Q1,KRTAP3-2
A0A024R5Q1,THAP1
A0A024R5Q1,RBFOX1
C15ORF48,ABL2
C15ORF48,TSSK3
TCL6,MEOX2
ANUBL1,PRKN
ANUBL1,RNF11
A0A024R8L2,VGLL3
A0A024R8L2,CRX
A0A024R8L2,KLF4
A0A024R8L2,SORBS3
A0A024R8L2,KRT34
A0A024R8L2,KRT75
A0A024R8L2,ZBED1
A0A024R8L2,NEFL
A0A024R8L2,NOTCH2NLC
A0A024R8L2,KRT13
A0A024R8L2,TRIM27
A0A024R8L2,TCF4
A0A024R8L2,CCNC
A0A024R8L2,PRKAR1B
A0A024R8L2,NUP62
A0A024R8L2,COIL
A0A024R8L2,NEDD4
A0A024R8L2,KCNJ6
A0A024R8L2,LIMS1
A0A024R8L2,HOXA1
A0A024R8L2,RBM11
A0A024R8L2,POU6F2
A0A024R8L2,REL
A0A024R8L2,TRAF2
A0A024R8L2,SLA
A0A024R8L2,TRIM14
A0A024R8L2,FHL2
A0A024R8L2,NR1D2
A0A024R8L2,RCN1
A0A024R8L2,TPRN
A0A024R8L2,KLHL12
A0A024R8L2,NHSL2
A0A024R8L2,MTUS2
A0A024R8L2,KIF24
A0A024R8L2,NADSYN1
A0A024R8L2,ZNF774
A0A024R8L2,BHLHB9
A0A024R8L2,ADAMTSL4
A0A024R8L2,KIAA0408
A0A024R8L2,NKAPD1
A0A024R8L2,ERAS
A0A024R8L2,ZNF438
A0A024R8L2,PPP1R32
A0A024R8L2,SPRED2
A0A024R8L2,NECAB2
A0A024R8L2,IHO1
A0A024R8L2,PPM1K
A0A024R8L2,ZNF114
A0A024R8L2,PNMA1
A0A024R8L2,GADD45GIP1
A0A024R8L2,MYOZ3
A0A024R8L2,ZCCHC14
A0A024R8L2,KRT35
A0A024R8L2,ZBTB8A
A0A024R8L2,RCN3
A0A024R8L2,ZBTB10
A0A024R8L2,ZNF837
A0A024R8L2,PKNOX2
A0A024R8L2,TCF12
A0A024R8L2,GINS3
A0A024R8L2,KIFC3
A0A024R8L2,SSBP4
A0A024R8L2,TEX13A
A0A024R8L2,TRIM54
A0A024R8L2,KATNBL1
A0A024R8L2,SPATC1L
A0A024R8L2,CARD9
A0A024R8L2,DUSP21
A0A024R8L2,C11ORF1
A0A024R8L2,ZBTB3
A0A024R8L2,PLEKHA3
A0A024R8L2,ABI2
A0A024R8L2,PAK5
A0A024R8L2,TFIP11
A0A024R8L2,UBQLN2
A0A024R8L2,NDUFA12
A0A024R8L2,IKZF3
A0A024R8L2,RPH3AL
A0A024R8L2,GAB2
A0A024R8L2,ZBTB32
A0A024R8L2,TSC22D4
SFRS2,TRIM27
SFRS2,TCF4
SFRS2,GOLGA2
SFRS2,KRT31
SFRS2,KRT40
SFRS2,LZTS2
SFRS2,CEP72
A0A024R962,A0A024R962
PCTK3,CCNK
PCTK3,CCDC85B
SPIN-2,SPIN-2
DFNA5,PTN
A0A024RA76,A0A024RA76
A0A024RA76,SDCBP
A0A024RA76,RBM39
A0A024RA76,SREK1IP1
A0A024RA76,THAP1
A0A024RA76,PRR13
ZNF323,DDIT3
PPARD,NR2B1
PPARD,SMAD9
PPARD,RXRB
PPARD,PRDX6
PPARD,RXRG
PPARD,PROX1
PPARD,RANBP9
DOM3Z,DNALI1
DOM3Z,KLF11
DOM3Z,PRKN
DOM3Z,KIF1B
DOM3Z,DNAJB6
DOM3Z,ERN1
DOM3Z,WFS1
DOM3Z,HSPB1
DOM3Z,VIM
DOM3Z,HSPD1
DOM3Z,PECAM1
DOM3Z,EIF2S3
DOM3Z,BAG6
DOM3Z,SARS1
DOM3Z,HSPA2
DOM3Z,PRPS1
DOM3Z,UBE2K
DOM3Z,FKBP1A
DOM3Z,CCT7
DOM3Z,RNF11
C6ORF1,ITIH6
COX2,PSMA1
COX2,RIDA
COX2,YWHAE
CENPS-CORT,HOMEZ
CENPS-CORT,LHX4
CENPS-CORT,CTNNA3
IFNA13,UBQLN2
FXYD6-FXYD2,CLDN5
FXYD6-FXYD2,PGRMC2
FXYD6-FXYD2,GPR37L1
FXYD6-FXYD2,BEST1
FXYD6-FXYD2,APOL3
FXYD6-FXYD2,SLC34A2
FXYD6-FXYD2,AVPR2
FXYD6-FXYD2,TRHR
FXYD6-FXYD2,BNIP3
FXYD6-FXYD2,AQP6
FXYD6-FXYD2,SLC10A1
FXYD6-FXYD2,SLC10A6
FXYD6-FXYD2,TMEM205
FXYD6-FXYD2,TMPPE
FXYD6-FXYD2,SLC16A13
FXYD6-FXYD2,UNC93A
FXYD6-FXYD2,GPR152
FXYD6-FXYD2,APH1B
FXYD6-FXYD2,TMEM41A
FXYD6-FXYD2,RNF170
FXYD6-FXYD2,FAM210B
FXYD6-FXYD2,TLCD4
FXYD6-FXYD2,SLC2A13
FXYD6-FXYD2,SLC19A3
FXYD6-FXYD2,MTIF3
FXYD6-FXYD2,CERS4
FXYD6-FXYD2,SLC35C2
FXYD6-FXYD2,TMEM167B
FXYD6-FXYD2,TMEM14B
FXYD6-FXYD2,GPRC5D
FXYD6-FXYD2,SLC7A8
FXYD6-FXYD2,TMX2
FXYD6-FXYD2,SPCS1
A0A087WZY1,GPR37L1
A0A087WZY1,PPIB
A0A087WZY1,BDNF
A0A087WZY1,GRN
A0A087WZY1,ASPH
A0A087WZY1,AQP6
A0A087WZY1,TMCO5A
A0A087WZY1,MTIF3
A0A087WZY1,TMEM14B
A0A087WZY1,TAC3
TBC1D3K,CLIC3
TBC1D3K,ZRANB1
CCDC187,FSD2
CCDC187,GOLGA6L9
CCDC187,CYSRT1
CCDC187,ANKRD28
CCDC187,EFS
CCDC187,SORBS3
CCDC187,HSF2BP
CCDC187,KHDRBS3
CCDC187,FRYL
CCDC187,CCNDBP1
CCDC187,VIM
CCDC187,TRIM27
CCDC187,KRT15
CCDC187,MCC
CCDC187,PRKAR1B
CCDC187,ACTN2
CCDC187,MAGEA6
CCDC187,FXR1
CCDC187,HNRNPK
CCDC187,AP2B1
CCDC187,CSNK2B
CCDC187,CDR2
CCDC187,DEUP1
CCDC187,GOLGA2
CCDC187,TRAF2
CCDC187,MKRN3
CCDC187,TRAF1
CCDC187,KRT32
CCDC187,KRT31
CCDC187,TRIP6
CCDC187,NAB2
CCDC187,INSC
CCDC187,KRTAP6-1
CCDC187,GRIPAP1
CCDC187,MSS51
CCDC187,PLEKHG4
CCDC187,MTUS2
CCDC187,CCDC102B
CCDC187,HMBOX1
CCDC187,RINT1
CCDC187,KRT27
CCDC187,CDR2L
CCDC187,HOMEZ
CCDC187,VPS52
CCDC187,CRACR2B
CCDC187,USHBP1
CCDC187,CBY2
CCDC187,PNMA1
CCDC187,CEP70
CCDC187,BICD2
CCDC187,ASB15
CCDC187,DDX17
CCDC187,HOOK2
CCDC187,CCDC136
CCDC187,CEP63
CCDC187,MDFI
CCDC187,LZTS2
CCDC187,KIFC3
CCDC187,CARD10
CCDC187,PICK1
CCDC187,HOMER3
CCDC187,GOLGA6A
CCDC187,NCKIPSD
CCDC187,TFIP11
CCDC187,ZRANB1
CCDC187,MID2
CCDC187,IKZF3
CCDC187,PNMA3
CCDC187,LZTS1
CCDC187,SSX2IP
CCDC187,COG6
TRBV9,TRAV4
TRBV9,HLA-B
TRAV4,TRAV4
TRAV4,TRBV28
TRAV4,HLA-B
TRAV24,TRBC2
BOLA2-SMG1P6,DTX2
GATD3B,MRPL53
SIK1B,TIMM10
SIK1B,PITX1
SIK1B,MESD
SIK1B,LHX8
SIK1B,GINS4
SIK1B,PRTFDC1
A0A0M3KKW6,A0A0M3KKW6
DPEP2NB,FRS3
DPEP2NB,COL8A1
DPEP2NB,NBL1
DPEP2NB,KANK2
DPEP2NB,ZNF410
DPEP2NB,TRAF4
DPEP2NB,ARMC7
DPEP2NB,CABP2
A0A0U1RRH7,HLA-G
OR4F16,UBTFL1
CRYAA2,CRYAA2
CRYAA2,SDCBP
CRYAA2,POLR1C
CRYAA2,TCAP
CRYAA2,HTRA2
CRYAA2,KIF1B
CRYAA2,SYNCRIP
CRYAA2,TSPAN2
CRYAA2,TIMM17B
CRYAA2,STX11
CRYAA2,BAG3
CRYAA2,CRYAA
CRYAA2,CRYAB
CRYAA2,HSPB1
CRYAA2,RPSA
CRYAA2,COX4I1
CRYAA2,HOXB1
CRYAA2,GATA1
CRYAA2,POLR2E
CRYAA2,COL9A1
CRYAA2,EIF4B
CRYAA2,CRYBB3
CRYAA2,ADD1
CRYAA2,PRPH
CRYAA2,HTT
CRYAA2,RGR
CRYAA2,RXRG
CRYAA2,CDK8
CRYAA2,PTTG1IP
CRYAA2,KLF3
CRYAA2,EIF3E
CRYAA2,PRPS1
CRYAA2,PSME3
CRYAA2,GABPB1
CRYAA2,INCA1
CRYAA2,GRB10
CRYAA2,UBE2V1
CRYAA2,IL16
CRYAA2,KRT81
CRYAA2,LASP1
CRYAA2,MAPK11
CRYAA2,SGSM1
CRYAA2,KRTAP19-5
CRYAA2,KRTAP19-7
CRYAA2,SPATS1
CRYAA2,SPATA46
CRYAA2,TUT7
CRYAA2,LGALS9C
CRYAA2,ESRP1
CRYAA2,FAAP20
CRYAA2,PABIR3
CRYAA2,PPP1R21
CRYAA2,Q7Z783
CRYAA2,SDCCAG8
CRYAA2,TMPRSS6
CRYAA2,KRTAP8-1
CRYAA2,TMTC1
CRYAA2,ZNF444
CRYAA2,RYBP
CRYAA2,EEF1AKNMT
CRYAA2,ACBD4
CRYAA2,BAHD1
CRYAA2,TCP10L
CRYAA2,ZNF296
CRYAA2,RFFL
CRYAA2,LARP4B
CRYAA2,NEUROG1
CRYAA2,RNF34
CRYAA2,TSACC
CRYAA2,TENT5B
CRYAA2,SPSB1
CRYAA2,ZHX1-C8ORF76
CRYAA2,FAM163A
CRYAA2,NTAQ1
CRYAA2,LOXL4
CRYAA2,TNIP3
CRYAA2,PRAM1
CRYAA2,PANX2
CRYAA2,MAP3K5
CRYAA2,EGFL8
CRYAA2,RBM4
CRYAA2,CDCA4
CRYAA2,TEX12
CRYAA2,SCAPER
CRYAA2,SPRY4
CRYAA2,C11ORF54
CRYAA2,RHOJ
CRYAA2,GORASP2
CRYAA2,UNKL
CRYAA2,CD209
CRYAA2,ARFGAP3
CRYAA2,SEMA4G
CRYAA2,UQCC1
CRYAA2,RBFOX1
CRYAA2,WBP1L
CRYAA2,GFOD1
CRYAA2,WWOX
CRYAA2,SPG21
CRYAA2,HMG20B
CRYAA2,BAIAP2
CRYAA2,NOD1
CRYAA2,NUDC
CRYAA2,KLHL20
CRYAA2,DUSP10
A0A158RFS4,A0A158RFS4
CXORF51A,AP2M1
TEX48,MESD
TEX48,FNDC3B
TEX48,ZNF441
CCDC196,EIF3F
CCDC196,MEIS2
CCDC196,KLF11
CCDC196,HGS
CCDC196,KIF1B
CCDC196,DTNB
CCDC196,STX11
CCDC196,SNAPC5
CCDC196,KRT34
CCDC196,KRT37
CCDC196,WFS1
CCDC196,HSPB1
CCDC196,NEFL
CCDC196,GFAP
CCDC196,KRT20
CCDC196,TXLNA
CCDC196,BAG6
CCDC196,MEOX2
CCDC196,KRT31
CCDC196,KRT39
CCDC196,SYCE2
CCDC196,ANKRD11
CCDC196,KRT28
CCDC196,TXLNB
CCDC196,ZGPAT
CCDC196,USHBP1
CCDC196,JPH3
CCDC196,WASF1
CCDC196,PIK3R3
CCDC196,KRT35
CCDC196,BORCS5
CCDC196,SKA1
CCDC196,PKNOX2
CCDC196,IFT74
CCDC196,RAB3IP
CCDC196,UBL5
CCDC196,TFIP11
CCDC196,NXF1
CCDC196,AMOTL2
A0A1U9X8X8,EIF3F
A0A1U9X8X8,HGS
A0A1U9X8X8,PRKAB2
A0A1U9X8X8,SGTA
A0A1U9X8X8,ATXN1L
A0A1U9X8X8,CSTF2
A0A1U9X8X8,BAG6
A0A1U9X8X8,NCS1
A0A1U9X8X8,VSNL1
A0A1U9X8X8,LCN2
A0A1U9X8X8,ASPH
A0A1U9X8X8,ITPRIPL1
A0A1U9X8X8,DESI1
A0A1U9X8X8,TRIM69
A0A1U9X8X8,NELFCD
A0A1U9X8X8,EXOC8
A0A1U9X8X8,FAM9B
A0A1U9X8X8,BANP
A0A1U9X8X8,CCHCR1
A0A1U9X8X8,SGTB
A0A1U9X8X8,SMARCD1
A0A1U9X8X8,TGM7
A0A1U9X8X8,PLVAP
A0A1U9X8X8,TSGA10
A0A1U9X8X8,ENKD1
A0A1U9X8X8,CSTF2T
A0A1U9X8X8,PARVG
A0A1U9X8X8,UBQLN2
A0A1U9X8X8,CTNNA3
A0A1U9X8X8,HPCAL4
A0A1U9X8X8,UBQLN1
A0A1U9X8X8,KCNIP3
RPS10-NUDT3,FKBP4
SRGAP2B,MPP5
SRGAP2B,ZNF655
SRGAP2B,FAM161B
SRGAP2B,SPG21
SRGAP2B,SCML2
SRGAP2B,USP20
SRGAP2B,WASHC3
A0A2K7P776,UBE3A
STING,STING
TSEN15,LMO4
TSEN15,NBPF3
TSEN15,EXOSC4
A0A384MDV8,LAMP2
A0A384MDV8,CASP6
A0A384MDV8,RAN
A0A384ME25,KIF1B
A0A384ME25,WFS1
A0A384ME25,RGS20
A0A384ME25,HSPB1
A0A384ME25,PAX6
A0A384ME25,GRN
A0A384ME25,HOXA1
A0A384ME25,MEOX1
A0A384ME25,KRTAP10-8
A0A384ME25,PMP22
A0A384ME25,DR1
A0A384ME25,GOLGA2
A0A384ME25,TRAF2
A0A384ME25,TARDBP
A0A384ME25,KPRP
A0A384ME25,KRTAP7-1
A0A384ME25,MORN4
A0A384ME25,ZMIZ2
A0A384ME25,GMCL1
A0A384ME25,TEPSIN
A0A384ME25,PBX4
A0A384ME25,BLZF1
A0A384ME25,KLHL20
A0A384ME25,RNF11
A0A384ME25,GTF3C3
A0A384NQ31,KLF11
A0A384NQ31,MAPK1
A0A384NQ31,CDK3
A0A384NQ31,PIN1
A0A384NQ31,YJU2
A0A4E0W6L3,RHOB
TRBV20-1,TRBV20-1
TRBC2,TRBC2
TRBC2,TRAC
TRBC2,HLA-B
KANSL1L,OPTN
SLC12A8,PAX6
RBM47,NUTM2F
RBM47,FAM22F
RBM47,HIVEP1
RBM47,OTX2
RBM47,PCBP3
RBM47,C10ORF55
RBM47,ZNF385C
RBM47,C1ORF94
RBM47,CELF5
RBM47,HSFY1|HSFY2
RBM47,RBFOX1
RBM47,PRR13
RBM47,CAMK2A
TMEM129,WFS1
TMEM129,TTR
TMEM129,HSPB1
E2F8,DNALI1
E2F8,KLF11
E2F8,HRAS
E2F8,GSN
E2F8,ADRB2
E2F8,FGFR3
E2F8,SNCA
E2F8,HTT
E2F8,BAG6
E2F8,MEOX2
E2F8,CASP6
