"","x"
"1","CD14+ Monocytes"
"2","CD14+ Monocytes"
"3","CD4 T cells"
"4","CD4 T cells"
"5","CD8 T cells"
"6","CD8 T cells"
"7","CD4 T cells"
"8","CD4 T cells"
"9","NK cells"
"10","FCGR3A+ Monocytes"
"11","CD8 T cells"
"12","CD14+ Monocytes"
"13","CD8 T cells"
"14","CD14+ Monocytes"
"15","B cells"
"16","CD8 T cells"
"17","CD4 T cells"
"18","CD14+ Monocytes"
"19","CD8 T cells"
"20","CD8 T cells"
"21","CD8 T cells"
"22","CD8 T cells"
"23","NK cells"
"24","B cells"
"25","CD8 T cells"
"26","CD8 T cells"
"27","B cells"
"28","CD4 T cells"
"29","B cells"
"30","CD8 T cells"
"31","CD14+ Monocytes"
"32","CD14+ Monocytes"
"33","CD8 T cells"
"34","CD8 T cells"
"35","CD4 T cells"
"36","CD8 T cells"
"37","CD8 T cells"
"38","CD8 T cells"
"39","CD8 T cells"
"40","CD4 T cells"
"41","CD4 T cells"
"42","CD4 T cells"
"43","CD8 T cells"
"44","CD14+ Monocytes"
"45","CD8 T cells"
"46","B cells"
"47","CD14+ Monocytes"
"48","CD4 T cells"
"49","B cells"
"50","CD14+ Monocytes"
"51","CD14+ Monocytes"
"52","NK cells"
"53","CD4 T cells"
"54","B cells"
"55","CD4 T cells"
"56","CD4 T cells"
"57","CD8 T cells"
"58","CD14+ Monocytes"
"59","CD14+ Monocytes"
"60","CD8 T cells"
"61","CD14+ Monocytes"
"62","CD8 T cells"
"63","CD14+ Monocytes"
"64","B cells"
"65","CD8 T cells"
"66","CD8 T cells"
"67","CD4 T cells"
"68","CD4 T cells"
"69","CD8 T cells"
"70","Dendritic cells"
"71","NK cells"
"72","CD8 T cells"
"73","CD8 T cells"
"74","CD8 T cells"
"75","CD14+ Monocytes"
"76","CD4 T cells"
"77","CD4 T cells"
"78","CD8 T cells"
"79","CD4 T cells"
"80","CD14+ Monocytes"
"81","CD8 T cells"
"82","CD8 T cells"
"83","CD8 T cells"
"84","FCGR3A+ Monocytes"
"85","CD14+ Monocytes"
"86","CD14+ Monocytes"
"87","CD8 T cells"
"88","FCGR3A+ Monocytes"
