,x
1,beta
2,beta
3,beta
4,beta
5,beta
6,beta
7,beta
8,beta
9,beta
10,beta
11,beta
12,beta
13,beta
14,beta
15,beta
16,beta
17,beta
18,beta
19,beta
20,beta
21,beta
22,beta
23,beta
24,beta
25,beta
26,beta
27,beta
28,beta
29,beta
30,beta
31,beta
32,beta
33,beta
34,beta
35,beta
36,beta
37,beta
38,beta
39,beta
40,beta
41,beta
42,beta
43,beta
44,beta
45,beta
46,beta
47,beta
48,beta
49,beta
50,beta
51,beta
52,beta
53,beta
54,beta
55,beta
56,beta
57,beta
58,beta
59,beta
60,beta
61,beta
62,beta
63,beta
64,beta
65,beta
66,beta
67,beta
68,beta
69,beta
70,beta
71,beta
72,beta
73,beta
74,beta
75,beta
76,beta
77,beta
78,beta
79,beta
80,beta
81,beta
82,beta
83,beta
84,beta
85,beta
86,beta
87,beta
88,beta
89,beta
90,beta
91,beta
92,beta
93,beta
94,beta
95,beta
96,beta
97,beta
98,beta
99,beta
100,beta
101,beta
102,beta
103,beta
104,beta
105,beta
106,beta
107,beta
108,beta
109,beta
110,beta
111,beta
112,beta
113,beta
114,beta
115,beta
116,beta
117,beta
118,beta
119,beta
120,beta
121,beta
122,beta
123,beta
124,beta
125,beta
126,beta
127,beta
128,beta
129,beta
130,beta
131,beta
132,beta
133,beta
134,beta
135,beta
136,beta
137,beta
138,beta
139,beta
140,beta
141,beta
142,beta
143,beta
144,beta
145,beta
146,beta
147,beta
148,beta
149,beta
150,beta
151,beta
152,beta
153,beta
154,beta
155,beta
156,beta
157,beta
158,beta
159,beta
160,beta
161,beta
162,beta
163,beta
164,beta
165,beta
166,beta
167,beta
168,beta
169,beta
170,beta
171,beta
172,beta
173,beta
174,beta
175,beta
176,beta
177,beta
178,beta
179,beta
180,beta
181,beta
182,beta
183,beta
184,beta
185,beta
186,beta
187,beta
188,beta
189,beta
190,beta
191,beta
192,beta
193,beta
194,beta
195,beta
196,beta
197,beta
198,beta
199,beta
200,beta
201,beta
202,beta
203,beta
204,beta
205,beta
206,beta
207,beta
208,alpha
209,alpha
210,alpha
211,alpha
212,alpha
213,alpha
214,alpha
215,alpha
216,alpha
217,alpha
218,alpha
219,alpha
220,alpha
221,alpha
222,alpha
223,alpha
224,alpha
225,alpha
226,alpha
227,alpha
228,alpha
229,alpha
230,alpha
231,alpha
232,alpha
233,alpha
234,alpha
235,alpha
236,alpha
237,alpha
238,alpha
239,alpha
240,alpha
241,alpha
242,alpha
243,alpha
244,alpha
245,alpha
246,alpha
247,alpha
248,alpha
249,alpha
250,alpha
251,alpha
252,alpha
253,alpha
254,alpha
255,alpha
256,alpha
257,alpha
258,alpha
259,alpha
260,alpha
261,alpha
262,alpha
263,alpha
264,alpha
265,alpha
266,alpha
267,alpha
268,alpha
269,alpha
270,alpha
271,alpha
272,alpha
273,alpha
274,alpha
275,alpha
276,alpha
277,alpha
278,alpha
279,alpha
280,alpha
281,alpha
282,alpha
283,alpha
284,alpha
285,alpha
286,alpha
287,alpha
288,alpha
289,alpha
290,alpha
291,alpha
292,alpha
293,alpha
294,alpha
295,alpha
296,alpha
297,alpha
298,alpha
299,alpha
300,alpha
301,alpha
302,alpha
303,alpha
304,alpha
305,alpha
306,alpha
307,alpha
308,alpha
309,alpha
310,alpha
311,alpha
312,alpha
313,alpha
314,alpha
315,alpha
316,alpha
317,alpha
318,alpha
319,alpha
320,alpha
321,alpha
322,alpha
323,alpha
324,alpha
325,alpha
326,alpha
327,alpha
328,alpha
329,alpha
330,alpha
331,alpha
332,alpha
333,alpha
334,alpha
335,alpha
336,alpha
337,alpha
338,alpha
339,alpha
340,alpha
341,alpha
342,alpha
343,alpha
344,alpha
345,alpha
346,alpha
347,alpha
348,alpha
349,alpha
350,alpha
351,alpha
352,alpha
353,alpha
354,alpha
355,alpha
356,alpha
357,alpha
358,alpha
359,alpha
360,alpha
361,alpha
362,alpha
363,alpha
364,alpha
365,alpha
366,alpha
367,alpha
368,alpha
369,alpha
370,alpha
371,alpha
372,alpha
373,alpha
374,alpha
375,alpha
376,alpha
377,alpha
378,alpha
379,alpha
380,alpha
381,alpha
382,alpha
383,alpha
384,alpha
385,alpha
386,alpha
387,alpha
388,alpha
389,alpha
390,alpha
391,alpha
392,alpha
393,alpha
394,alpha
395,alpha
396,alpha
397,alpha
398,alpha
399,alpha
400,alpha
401,alpha
402,alpha
403,alpha
404,alpha
405,alpha
406,alpha
407,alpha
408,alpha
409,alpha
410,alpha
411,alpha
412,alpha
413,alpha
414,alpha
415,alpha
416,alpha
417,alpha
418,alpha
419,alpha
420,alpha
421,alpha
422,alpha
423,alpha
424,alpha
425,alpha
426,alpha
427,alpha
428,alpha
429,alpha
430,alpha
431,alpha
432,alpha
433,alpha
434,alpha
435,alpha
436,alpha
437,alpha
438,alpha
439,alpha
440,alpha
441,alpha
442,alpha
443,alpha
444,alpha
445,alpha
446,alpha
447,alpha
448,alpha
449,alpha
450,alpha
451,alpha
452,alpha
453,alpha
454,alpha
455,alpha
456,alpha
457,alpha
458,alpha
459,alpha
460,alpha
461,alpha
462,alpha
463,alpha
464,alpha
465,alpha
466,alpha
467,alpha
468,alpha
469,alpha
470,alpha
471,alpha
472,alpha
473,alpha
474,alpha
475,alpha
476,alpha
477,alpha
478,alpha
479,alpha
480,alpha
481,alpha
482,alpha
483,alpha
484,alpha
485,alpha
486,alpha
487,alpha
488,alpha
489,alpha
490,alpha
491,alpha
492,alpha
493,alpha
494,alpha
495,alpha
496,alpha
497,alpha
498,alpha
499,alpha
500,alpha
501,alpha
502,alpha
503,alpha
504,alpha
505,alpha
506,alpha
507,alpha
508,alpha
509,alpha
510,alpha
511,alpha
512,alpha
513,alpha
514,alpha
515,alpha
516,alpha
517,alpha
518,alpha
519,alpha
520,alpha
521,alpha
522,alpha
523,alpha
524,alpha
525,alpha
526,alpha
527,alpha
528,alpha
529,alpha
530,alpha
531,alpha
532,alpha
533,alpha
534,alpha
535,alpha
536,alpha
537,alpha
538,alpha
539,alpha
540,alpha
541,alpha
542,alpha
543,alpha
544,alpha
545,alpha
546,alpha
547,alpha
548,alpha
549,alpha
550,alpha
551,alpha
552,alpha
553,alpha
554,alpha
555,alpha
556,alpha
557,alpha
558,alpha
559,alpha
560,alpha
561,alpha
562,alpha
563,alpha
564,alpha
565,alpha
566,alpha
567,alpha
568,alpha
569,alpha
570,alpha
571,alpha
572,alpha
573,alpha
574,alpha
